PP,lon,lat
130.1599733,-102.5,8.5
142.0092445,-102.5,9.5
212.5257256,-103.5,-0.5
205.5514744,-103.5,-1.5
142.4149261,-103.5,-10.5
140.3483211,-103.5,-11.5
138.3913919,-103.5,-12.5
137.3766878,-103.5,-13.5
136.2918153,-103.5,-14.5
133.5624527,-103.5,-15.5
127.5247966,-103.5,-16.5
119.6158076,-103.5,-17.5
108.0827298,-103.5,-18.5
92.42889879,-103.5,-19.5
181.0405483,-103.5,-2.5
76.50996416,-103.5,-20.5
63.12117941,-103.5,-21.5
55.04192957,-103.5,-22.5
50.87218817,-103.5,-23.5
49.56992981,-103.5,-24.5
49.56085337,-103.5,-25.5
50.72660686,-103.5,-26.5
52.27692382,-103.5,-27.5
54.5427726,-103.5,-28.5
57.49884166,-103.5,-29.5
167.2946779,-103.5,-3.5
61.59119333,-103.5,-30.5
68.36265197,-103.5,-31.5
78.83247024,-103.5,-32.5
90.46353681,-103.5,-33.5
102.3602358,-103.5,-34.5
108.2782115,-103.5,-35.5
110.1772843,-103.5,-36.5
110.8197976,-103.5,-37.5
109.8434487,-103.5,-38.5
106.9000724,-103.5,-39.5
162.2661886,-103.5,-4.5
102.8670864,-103.5,-40.5
98.80378281,-103.5,-41.5
94.1096579,-103.5,-42.5
88.42785579,-103.5,-43.5
84.33145601,-103.5,-44.5
79.89639614,-103.5,-45.5
74.35516718,-103.5,-46.5
69.52024587,-103.5,-47.5
66.70429431,-103.5,-48.5
65.56283907,-103.5,-49.5
158.1871212,-103.5,-5.5
66.49340187,-103.5,-50.5
67.96978826,-103.5,-51.5
67.02842569,-103.5,-52.5
64.04672928,-103.5,-53.5
63.93141983,-103.5,-54.5
63.20020919,-103.5,-55.5
62.05236768,-103.5,-56.5
59.68235014,-103.5,-57.5
57.71102676,-103.5,-58.5
57.85177691,-103.5,-59.5
152.630892,-103.5,-6.5
56.8372925,-103.5,-60.5
49.59460576,-103.5,-61.5
38.67045896,-103.5,-62.5
32.9699781,-103.5,-63.5
30.33015203,-103.5,-64.5
28.46284405,-103.5,-65.5
30.40095478,-103.5,-66.5
31.33223307,-103.5,-67.5
28.54297692,-103.5,-68.5
21.58110008,-103.5,-69.5
149.1627877,-103.5,-7.5
18.47670857,-103.5,-70.5
25.80776268,-103.5,-71.5
145.8909885,-103.5,-8.5
144.6650969,-103.5,-9.5
184.4854591,-103.5,0.5
155.4037996,-103.5,1.5
132.624219,-103.5,10.5
126.2347517,-103.5,11.5
119.8586527,-103.5,12.5
113.498907,-103.5,13.5
110.7639199,-103.5,14.5
113.5868105,-103.5,15.5
128.3638467,-103.5,16.5
244.7901552,-103.5,17.5
136.7545939,-103.5,2.5
124.710338,-103.5,3.5
112.3335902,-103.5,4.5
104.4102579,-103.5,5.5
107.0468532,-103.5,6.5
116.9098356,-103.5,7.5
14.77954256,-103.5,71.5
19.60488128,-103.5,72.5
13.9365394,-103.5,73.5
19.55748773,-103.5,74.5
23.03034756,-103.5,77.5
126.0100441,-103.5,8.5
134.1272951,-103.5,9.5
211.9921235,-104.5,-0.5
204.9501771,-104.5,-1.5
140.7109503,-104.5,-10.5
138.0231322,-104.5,-11.5
136.0940748,-104.5,-12.5
134.4979433,-104.5,-13.5
133.5807974,-104.5,-14.5
131.0202943,-104.5,-15.5
124.5314827,-104.5,-16.5
116.6771552,-104.5,-17.5
105.2229923,-104.5,-18.5
90.68193675,-104.5,-19.5
180.7027687,-104.5,-2.5
74.58594606,-104.5,-20.5
62.45767037,-104.5,-21.5
53.23686157,-104.5,-22.5
49.19948473,-104.5,-23.5
48.54894544,-104.5,-24.5
48.95656919,-104.5,-25.5
50.29153563,-104.5,-26.5
51.80823814,-104.5,-27.5
54.40502532,-104.5,-28.5
56.86154596,-104.5,-29.5
166.5356487,-104.5,-3.5
60.5650268,-104.5,-30.5
67.74606968,-104.5,-31.5
77.45519285,-104.5,-32.5
89.19052106,-104.5,-33.5
101.6358264,-104.5,-34.5
106.7388917,-104.5,-35.5
109.509992,-104.5,-36.5
111.4459584,-104.5,-37.5
110.006306,-104.5,-38.5
106.8652177,-104.5,-39.5
160.0655511,-104.5,-4.5
102.6268924,-104.5,-40.5
98.27999532,-104.5,-41.5
93.96699655,-104.5,-42.5
88.37366117,-104.5,-43.5
84.54866998,-104.5,-44.5
79.77968027,-104.5,-45.5
75.00425833,-104.5,-46.5
70.28037348,-104.5,-47.5
67.24629579,-104.5,-48.5
66.32978408,-104.5,-49.5
156.2882326,-104.5,-5.5
67.71115486,-104.5,-50.5
69.43423335,-104.5,-51.5
67.65849964,-104.5,-52.5
65.10664294,-104.5,-53.5
64.49607583,-104.5,-54.5
62.95148308,-104.5,-55.5
61.09617547,-104.5,-56.5
59.43516921,-104.5,-57.5
57.73810205,-104.5,-58.5
56.63612986,-104.5,-59.5
151.3169994,-104.5,-6.5
55.97553965,-104.5,-60.5
48.41618202,-104.5,-61.5
37.46277643,-104.5,-62.5
34.2142412,-104.5,-63.5
31.32173726,-104.5,-64.5
28.91151773,-104.5,-65.5
30.68739293,-104.5,-66.5
31.42248002,-104.5,-67.5
29.02534876,-104.5,-68.5
20.79919541,-104.5,-69.5
147.9296434,-104.5,-7.5
18.49004107,-104.5,-70.5
25.11653228,-104.5,-71.5
32.24276655,-104.5,-72.5
145.7991307,-104.5,-8.5
143.8720275,-104.5,-9.5
184.6047277,-104.5,0.5
155.3348691,-104.5,1.5
126.8430476,-104.5,10.5
122.1509245,-104.5,11.5
115.694481,-104.5,12.5
109.1601394,-104.5,13.5
108.777979,-104.5,14.5
112.4026701,-104.5,15.5
123.7347266,-104.5,16.5
183.8418303,-104.5,17.5
345.285735,-104.5,18.5
137.2038149,-104.5,2.5
125.4237651,-104.5,3.5
112.3846008,-104.5,4.5
103.5617538,-104.5,5.5
105.2192376,-104.5,6.5
114.6641286,-104.5,7.5
16.58583129,-104.5,74.5
123.3315882,-104.5,8.5
127.0565915,-104.5,9.5
211.3039331,-105.5,-0.5
203.7974009,-105.5,-1.5
139.540061,-105.5,-10.5
136.4336787,-105.5,-11.5
134.0454236,-105.5,-12.5
132.0954009,-105.5,-13.5
130.9522094,-105.5,-14.5
128.1095877,-105.5,-15.5
121.4395426,-105.5,-16.5
114.0948371,-105.5,-17.5
103.6176047,-105.5,-18.5
89.51135914,-105.5,-19.5
179.0182961,-105.5,-2.5
73.15782466,-105.5,-20.5
60.84104097,-105.5,-21.5
52.23010247,-105.5,-22.5
48.34002808,-105.5,-23.5
47.17720493,-105.5,-24.5
47.8625476,-105.5,-25.5
50.03413745,-105.5,-26.5
52.28720088,-105.5,-27.5
54.44982071,-105.5,-28.5
55.94070722,-105.5,-29.5
164.9539073,-105.5,-3.5
59.29812366,-105.5,-30.5
65.87508908,-105.5,-31.5
76.58470459,-105.5,-32.5
88.90154491,-105.5,-33.5
99.35248969,-105.5,-34.5
105.4020616,-105.5,-35.5
108.6598961,-105.5,-36.5
111.0867367,-105.5,-37.5
110.4095474,-105.5,-38.5
106.6932006,-105.5,-39.5
158.0882914,-105.5,-4.5
102.984891,-105.5,-40.5
98.17528935,-105.5,-41.5
93.9021216,-105.5,-42.5
89.80304595,-105.5,-43.5
84.73598998,-105.5,-44.5
79.60599886,-105.5,-45.5
75.44023992,-105.5,-46.5
71.00012545,-105.5,-47.5
67.94856238,-105.5,-48.5
67.75838461,-105.5,-49.5
154.5916575,-105.5,-5.5
68.97186229,-105.5,-50.5
70.7369595,-105.5,-51.5
69.05407979,-105.5,-52.5
65.86356956,-105.5,-53.5
64.99911416,-105.5,-54.5
63.15188503,-105.5,-55.5
60.70756612,-105.5,-56.5
59.68862134,-105.5,-57.5
57.24804494,-105.5,-58.5
55.91113472,-105.5,-59.5
150.1784076,-105.5,-6.5
55.10859889,-105.5,-60.5
47.07441569,-105.5,-61.5
37.7693706,-105.5,-62.5
35.89588892,-105.5,-63.5
32.62916372,-105.5,-64.5
29.8497101,-105.5,-65.5
31.16009428,-105.5,-66.5
31.04117311,-105.5,-67.5
28.28539095,-105.5,-68.5
21.0198611,-105.5,-69.5
146.980708,-105.5,-7.5
19.03110874,-105.5,-70.5
24.56191042,-105.5,-71.5
38.32230822,-105.5,-72.5
47.29763204,-105.5,-73.5
145.0375993,-105.5,-8.5
142.7729465,-105.5,-9.5
183.489244,-105.5,0.5
155.2062959,-105.5,1.5
122.5601161,-105.5,10.5
117.4465418,-105.5,11.5
113.9684944,-105.5,12.5
107.0403063,-105.5,13.5
106.7914757,-105.5,14.5
111.5414247,-105.5,15.5
122.8757566,-105.5,16.5
152.4372421,-105.5,17.5
313.0562444,-105.5,18.5
138.7322776,-105.5,2.5
126.5422486,-105.5,3.5
113.2033986,-105.5,4.5
102.7862443,-105.5,5.5
103.8328595,-105.5,6.5
112.3168787,-105.5,7.5
15.15824148,-105.5,74.5
14.627183,-105.5,76.5
120.0898865,-105.5,8.5
121.8157464,-105.5,9.5
209.8071408,-106.5,-0.5
203.6045494,-106.5,-1.5
138.3288647,-106.5,-10.5
135.2275456,-106.5,-11.5
